id;ownerId;trustId;amount;currency;createdAt;acceptedAt;refusedAt;repaidAt;insuranceStatus;status;country
000bfed4-8b35-4ef7-9b38-44992848decf;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;300,47;EUR;04/12/2023;05/12/2023;;;ACTIVATED;TO_REPAY;FR
00172b9d-167f-4577-b5cd-04a6961b1e72;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;245,47;EUR;03/12/2023;04/12/2023;;;ACTIVATED;PAST_DUE;FR
001d4356-dd74-4ff2-a0e5-9d768a150b3d;46c227d3-0e1c-4a80-9c8f-8ad9ec513b28;4bb872a9-657b-4d61-9158-bc42983bdb0c;60,8;EUR;04/12/2023;04/12/2023;;;REFUSED;TO_REPAY;DE
00382c50-c76d-4b61-84ba-713dca16872b;2a286f75-ade9-4d78-a969-04dc0e67f972;4bb872a9-657b-4d61-9158-bc42983bdb0c;934,36;EUR;01/12/2023;01/12/2023;;;ACTIVATED;TO_REPAY;FR
00399acc-e739-4030-b903-8584a80c49d7;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;133,2;EUR;19/11/2023;20/11/2023;;;ACTIVATED;PAST_DUE;DE
005387ad-97e1-4fe0-80c5-520a1628869c;2a286f75-ade9-4d78-a969-04dc0e67f972;4bb872a9-657b-4d61-9158-bc42983bdb0c;1374,28;EUR;15/12/2023;18/12/2023;;;ACTIVATED;TO_REPAY;FR
0068aa97-fbdf-427a-86df-fcec33d493a3;58f5c525-1f5f-459f-987a-93ab73949b18;null;244,8;EUR;16/12/2023;;02/01/2024;;REFUSED;REFUSED;FR
0073a13b-163f-4bf5-8b73-40256c59f87b;06f91e2f-89a8-4bca-8fc5-229b9b2c43d5;4bb872a9-657b-4d61-9158-bc42983bdb0c;1260;EUR;07/07/2023;13/07/2023;;;ACTIVATED;PAST_DUE;FR
00a44818-a1e1-412d-b779-aa8a13c63f60;46c227d3-0e1c-4a80-9c8f-8ad9ec513b28;4bb872a9-657b-4d61-9158-bc42983bdb0c;319,2;EUR;27/11/2023;27/11/2023;;;ACTIVATED;TO_REPAY;FR
00b80ac3-78ff-4a61-88c2-0385dcfd36a1;58f5c525-1f5f-459f-987a-93ab73949b18;4bb872a9-657b-4d61-9158-bc42983bdb0c;269,53;EUR;03/12/2023;04/12/2023;;;ACTIVATED;TO_REPAY;ES
0117d25c-30a5-400c-950a-0a4dd3d08320;66bc60b0-b60e-4ff6-aa08-8fffbf61c0a6;db0d8688-9496-405b-b853-96bdcd4fa630;64;EUR;28/12/2023;29/12/2023;;;ACTIVATED;TO_REPAY;ES
011f04af-0e2b-4252-8a51-ab9d88a83857;46c227d3-0e1c-4a80-9c8f-8ad9ec513b28;null;840;EUR;22/12/2023;22/12/2023;;;ACTIVATED;TO_REPAY;FR
01532802-2850-4bdd-8fcd-c7846801e2d1;46c227d3-0e1c-4a80-9c8f-8ad9ec513b28;4bb872a9-657b-4d61-9158-bc42983bdb0c;429,2;EUR;27/10/2023;27/10/2023;;;REFUSED;PAST_DUE;ES
0158668e-eceb-425f-8f4e-46cf09b13e2d;66bc60b0-b60e-4ff6-aa08-8fffbf61c0a6;db0d8688-9496-405b-b853-96bdcd4fa630;56;EUR;28/12/2023;29/12/2023;;;ACTIVATED;TO_REPAY;ES
0187927b-e05f-4a91-9572-a4869c65d0d2;93f26351-270d-4afa-aba5-71ed06df8a3a;9f5a726c-6708-4124-a9a0-5e8c22383e84;2088;EUR;07/09/2023;08/09/2023;;;REFUSED;PAST_DUE;FR
01887188-aec6-4f9b-a318-ad843702df42;58f5c525-1f5f-459f-987a-93ab73949b18;null;211,38;EUR;01/01/2024;;02/01/2024;;REFUSED;REFUSED;FR
018950a5-77a5-41d1-9ebf-a21fe873f0de;4fee897c-4401-4ec7-90cb-60beb45937b8;db0d8688-9496-405b-b853-96bdcd4fa630;1344,5;EUR;02/11/2023;02/11/2023;;;ACTIVATED;PAST_DUE;ES
01b9d251-f2da-42ae-b465-184d205e72f2;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;44;EUR;14/09/2023;14/09/2023;;;ACTIVATED;PAST_DUE;FR
01ee7781-6807-4418-8d9d-dc6aa62aaf4d;46c227d3-0e1c-4a80-9c8f-8ad9ec513b28;db0d8688-9496-405b-b853-96bdcd4fa630;45,6;EUR;06/12/2023;06/12/2023;;;ACTIVATED;TO_REPAY;FR
0229a7db-857f-49a6-8459-76e72bbec017;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;763,68;EUR;20/11/2023;20/11/2023;;;ACTIVATED;PAST_DUE;FR
0231be75-5704-42e3-822d-30c3a6d73ef4;58f5c525-1f5f-459f-987a-93ab73949b18;db0d8688-9496-405b-b853-96bdcd4fa630;810;EUR;20/11/2023;20/11/2023;;;ACTIVATED;PAST_DUE;DE
